CATEGORIE;DATE;QUART;PDQ;X;Y;LONGITUDE;LATITUDE
Vol de vehicule moteur;2019-12-31;nuit;7;290963.116;5042888.979;#CHAMP!;45.525780983025015
Vol dans / sur vehicule moteur;2019-12-31;jour;42;297699.313001857;5050532.5000034;#CHAMP!;45.59466106573037
Mefait;2019-12-31;jour;7;285690.432993881;5039834.89500633;#CHAMP!;45.49817470492259
Mefait;2019-12-31;soir;8;291197.280994731;5033366.00000776;#CHAMP!;45.44009382271649
Mefait;2019-12-31;soir;38;298706.19699718396;5043264.08900855;#CHAMP!;45.52926706739608
Introduction;2019-12-31;jour;38;299095.122006214;5041146.07000152;#CHAMP!;45.510211584587054
Vol de vehicule moteur;2019-12-31;jour;7;291472.04;5043213.109;#CHAMP!;45.52870753570997
Mefait;2019-12-31;soir;20;299344.83600733604;5040364.061996089;#CHAMP!;45.503176747808354
Mefait;2019-12-31;jour;44;299450.78599268;5045069.6040056;#CHAMP!;45.54551987098229
Vol de vehicule moteur;2019-12-31;jour;45;296720.14099853893;5055028.03800663;#CHAMP!;45.63510230123293
Mefait;2019-12-31;jour;48;302157.127998992;5051378.83000172;#CHAMP!;45.60230780944681
Vol dans / sur vehicule moteur;2019-12-31;jour;38;296815.115;5042481.574;#CHAMP!;45.52220659972614
Mefait;2019-12-31;jour;10;287646.928;5043113.395;#CHAMP!;45.527726633578496
Mefait;2019-12-31;jour;44;299434.08699627;5045030.60400839;#CHAMP!;45.54516880665068
Mefait;2019-12-31;jour;39;293497.673000392;5050337.17799264;#CHAMP!;45.59284790993966
Vol dans / sur vehicule moteur;2019-12-31;soir;10;292854.259;5043730.233;#CHAMP!;45.533385861738374
Introduction;2019-12-31;jour;38;296557.52799889;5042643.53399547;#CHAMP!;45.52366097987559
Mefait;2019-12-31;soir;48;302423.012009424;5049168.60300199;#CHAMP!;45.58242051105768
Introduction;2019-12-31;soir;38;297704.783993212;5042552.253992169;#CHAMP!;45.52285222834023
Infractions entrainant la mort;2019-12-31;nuit;12;298716.6669958991;5039459.57499444;#CHAMP!;45.49503259132259
Mefait;2019-12-31;jour;44;299450.78599268;5045069.6040056;#CHAMP!;45.54551987098229
Vol dans / sur vehicule moteur;2019-12-31;jour;30;294934.55900773196;5048109.549995249;#CHAMP!;45.57282495353603
Mefait;2019-12-31;jour;5;282329.469000842;5034538.50000722;#CHAMP!;45.45041567436049
Introduction;2019-12-31;jour;31;295398.2660067409;5043969.11700294;#CHAMP!;45.535574392830945
Introduction;2019-12-31;soir;44;298900.56899507804;5045908.21600874;#CHAMP!;45.553061551987156
Introduction;2019-12-31;jour;23;300757.486997855;5045148.61199134;#CHAMP!;45.54623962232088
Vol dans / sur vehicule moteur;2019-12-31;nuit;48;301755.542;5049999.053;#CHAMP!;45.589890545668254
Introduction;2019-12-31;jour;48;302511.60400304804;5051325.59400647;#CHAMP!;45.60183003468299
Mefait;2019-12-31;nuit;27;292750.5050053411;5048542.3529992495;#CHAMP!;45.57668504843756
Introduction;2019-12-31;jour;48;301070.461999508;5048383.79700098;#CHAMP!;45.575352649336914
Vol de vehicule moteur;2019-12-31;jour;13;293024.999997781;5031459.00000287;#CHAMP!;45.422966832795915
Introduction;2019-12-31;nuit;33;293838.168998307;5043304.363003969;#CHAMP!;45.529569902931264
Vol dans / sur vehicule moteur;2019-12-31;soir;20;299484.234005137;5040432.06400447;#CHAMP!;45.5037897348353
Vol de vehicule moteur;2019-12-31;jour;10;0;0;1;1
Vols qualifies;2019-12-31;nuit;16;0;0;1;1
Introduction;2019-12-31;soir;1;0;0;1;1
Vol dans / sur vehicule moteur;2019-12-31;jour;22;0;0;1;1
Mefait;2019-12-31;jour;45;0;0;1;1
Vol dans / sur vehicule moteur;2019-12-31;jour;12;0;0;1;1
Vols qualifies;2019-12-31;soir;22;0;0;1;1
Mefait;2019-12-31;jour;48;302729.427;5049772.047;#CHAMP!;45.58785146031489
Mefait;2019-12-31;soir;48;302729.427;5049772.047;#CHAMP!;45.58785146031489
Vol dans / sur vehicule moteur;2019-12-31;jour;48;0;0;1;1
Vol dans / sur vehicule moteur;2019-12-31;soir;48;300725.27300301;5049540.61399978;#CHAMP!;45.58576010447079
Vol de vehicule moteur;2019-12-31;nuit;48;302700.998008256;5051778.242000209;#CHAMP!;45.605903681060944
Introduction;2019-12-31;soir;7;291055.125;5040997.5;#CHAMP!;45.50876258451031
Introduction;2019-12-31;soir;44;299246.47398999;5048055.07900342;#CHAMP!;45.57238257574255
Vol dans / sur vehicule moteur;2019-12-31;jour;48;303051.081003012;5050810.04900038;#CHAMP!;45.597192584425066
Introduction;2019-12-31;soir;26;292436.71000299;5039709.47700723;#CHAMP!;45.497198302586355
Vol dans / sur vehicule moteur;2019-12-31;jour;30;296568.57100627;5046617.06799643;#CHAMP!;45.55941637632352
Introduction;2019-12-31;jour;20;298915.735998232;5040361.06099768;#CHAMP!;45.50314625598341
Vol dans / sur vehicule moteur;2019-12-30;soir;20;298744.6550063251;5039795.27800592;#CHAMP!;45.4980536355858
Vol dans / sur vehicule moteur;2019-12-30;jour;9;292204.302003158;5035657.68199248;#CHAMP!;45.4607343409264
Introduction;2019-12-30;soir;38;299878.788997273;5044166.10099286;#CHAMP!;45.53739297731934
Introduction;2019-12-30;jour;10;289800.15699879;5044070.04300578;#CHAMP!;45.536384536921666
Introduction;2019-12-30;nuit;10;289960.08800342;5044040.35299267;#CHAMP!;45.53612080097256
Mefait;2019-12-30;jour;39;294982.468992832;5053272.499994231;#CHAMP!;45.619283204572305
Introduction;2019-12-30;jour;7;289426.921;5038045.241;#CHAMP!;45.48216302102637
Vol dans / sur vehicule moteur;2019-12-30;jour;35;297745.9100090109;5044659.11000682;#CHAMP!;45.54181092139683
Vol dans / sur vehicule moteur;2019-12-30;jour;38;299828.086;5043212.17;#CHAMP!;45.528808786520855
Mefait;2019-12-30;jour;30;295040.8790098489;5047767.293994951;#CHAMP!;45.56974673021025
Introduction;2019-12-30;soir;30;297539.657994222;5047644.06599142;#CHAMP!;45.568668438719854
Introduction;2019-12-30;jour;3;280976.24999168894;5040345.50000776;#CHAMP!;45.5026242424947
Introduction;2019-12-30;soir;30;294772.058000655;5048372.549000809;#CHAMP!;45.57518917358894
Vol de vehicule moteur;2019-12-30;jour;49;305209.4630005;5056820.04899672;#CHAMP!;45.65127407661252
